degree,gamma,coef0,C,class_weight,kernel,true_positive,false_positive,true_negative,false_negative
4.0,0.05832118435198043,1.0,100.0,balanced,poly,217,107,1481,120
4.0,1.0,0.0,100.0,balanced,poly,183,118,1470,154
4.0,1.0,1.0,100.0,balanced,poly,188,115,1473,149
5.0,1.156925355176084e-05,0.0,100.0,balanced,poly,128,643,945,209
5.0,1.156925355176084e-05,1.0,100.0,balanced,poly,273,293,1295,64
5.0,0.0001983713753468722,0.0,100.0,balanced,poly,337,1586,2,0
5.0,0.0001983713753468722,1.0,100.0,balanced,poly,233,188,1400,104
5.0,0.003401360544217687,0.0,100.0,balanced,poly,210,236,1352,127
5.0,0.003401360544217687,1.0,100.0,balanced,poly,229,116,1472,108
5.0,0.05832118435198043,0.0,100.0,balanced,poly,260,364,1224,77
5.0,0.05832118435198043,1.0,100.0,balanced,poly,226,134,1454,111
5.0,1.0,0.0,100.0,balanced,poly,255,375,1213,82
5.0,1.0,1.0,100.0,balanced,poly,259,331,1257,78
,1.156925355176084e-05,,100.0,balanced,rbf,284,305,1283,53
,0.0001983713753468722,,100.0,balanced,rbf,257,190,1398,80
,0.003401360544217687,,100.0,balanced,rbf,220,82,1506,117
,0.05832118435198043,,100.0,balanced,rbf,2,0,1588,335
,1.0,,100.0,balanced,rbf,0,0,1588,337
